Suburbs,Sentiment
TAYLORS LAKES,"{'pos': 74, 'neg': 32}"
MULGRAVE,"{'pos': 28, 'neg': 27}"
MAIDSTONE,"{'pos': 58, 'neg': 28}"
TEMPLESTOWE,"{'neg': 12, 'pos': 13}"
PRINCES HILL,"{'pos': 6, 'neg': 1}"
TULLAMARINE,"{'pos': 27, 'neg': 17}"
DONVALE,"{'pos': 21, 'neg': 6}"
GLEN WAVERLEY,"{'neg': 65, 'pos': 128}"
CAIRNLEA,"{'pos': 20, 'neg': 6}"
THORNBURY,"{'pos': 68, 'neg': 34}"
CRANBOURNE WEST,"{'pos': 23, 'neg': 12}"
WESTMEADOWS,"{'pos': 14, 'neg': 8}"
MALVERN EAST,"{'pos': 76, 'neg': 36}"
BURWOOD EAST,"{'neg': 10, 'pos': 22}"
MERNDA,"{'neg': 119, 'pos': 230}"
CARRUM DOWNS,"{'pos': 86, 'neg': 42}"
BROADMEADOWS,"{'pos': 109, 'neg': 77}"
KINGSVILLE,"{'pos': 14, 'neg': 2}"
PAKENHAM,"{'pos': 86, 'neg': 48}"
ROWVILLE,"{'pos': 81, 'neg': 49}"
HAMPTON,"{'neg': 65, 'pos': 42}"
CROYDON HILLS,"{'neg': 16, 'pos': 38}"
DOVETON,"{'neg': 7, 'pos': 16}"
BLACKBURN,"{'neg': 20, 'pos': 19}"
HAWTHORN EAST,"{'pos': 97, 'neg': 41}"
WARRANDYTE,"{'neg': 60, 'pos': 76}"
MOUNT MARTHA,"{'pos': 21, 'neg': 13}"
FAWKNER,"{'pos': 53, 'neg': 29}"
HIGHETT,"{'pos': 25, 'neg': 10}"
COBURG NORTH,"{'pos': 38, 'neg': 20}"
SUNBURY,"{'pos': 133, 'neg': 84}"
DOREEN,"{'pos': 17, 'neg': 10}"
MURRUMBEENA,"{'neg': 5, 'pos': 11}"
SUNSHINE WEST,"{'pos': 114, 'neg': 67}"
ENDEAVOUR HILLS,"{'pos': 20, 'neg': 12}"
WEST FOOTSCRAY,"{'pos': 38, 'neg': 15}"
SPRINGVALE,"{'neg': 14, 'pos': 19}"
KNOXFIELD,"{'neg': 10, 'pos': 21}"
COBURG,"{'neg': 44, 'pos': 77}"
SPRINGVALE SOUTH,"{'pos': 18, 'neg': 9}"
OFFICER,"{'pos': 9, 'neg': 2}"
ELWOOD,"{'pos': 73, 'neg': 42}"
VIEWBANK,"{'pos': 13, 'neg': 2}"
DANDENONG,"{'pos': 220, 'neg': 122}"
FRASER RISE,"{'pos': 6, 'neg': 1}"
MILL PARK,"{'neg': 34, 'pos': 116}"
RIDDELLS CREEK,"{'pos': 13, 'neg': 12}"
BULLEEN,"{'pos': 85, 'neg': 33}"
