Suburbs,Sentiment,scores,log_scores
BRIGHTON EAST,"{'neg': 56, 'pos': 74}",1.3157894736842106,0.27443684570176036
HILLSIDE,"{'pos': 145, 'neg': 67}",2.1470588235294117,0.7640989165322297
ST KILDA WEST,"{'pos': 29, 'neg': 20}",1.4285714285714286,0.3566749439387324
ASCOT VALE,"{'pos': 39, 'neg': 15}",2.5,0.9162907318741551
FITZROY NORTH,"{'pos': 70, 'neg': 37}",1.868421052631579,0.6250937173149297
BAYSWATER,"{'neg': 19, 'pos': 38}",1.95,0.6678293725756554
CHIRNSIDE PARK,"{'pos': 19, 'neg': 7}",2.5,0.9162907318741551
NARRE WARREN,"{'pos': 42, 'neg': 22}",1.8695652173913044,0.6257058997644128
MCKINNON,"{'pos': 123, 'neg': 28}",4.275862068965517,1.4529857356185627
COLLINGWOOD,"{'pos': 85, 'neg': 29}",2.8666666666666667,1.0531499145913523
BOX HILL,"{'pos': 61, 'neg': 40}",1.5121951219512195,0.4135623183407838
MENZIES CREEK,"{'pos': 1, 'neg': 0}",2.0,0.6931471805599453
ALTONA,"{'pos': 58, 'neg': 18}",3.1052631578947367,1.133098464739279
EPPING,"{'pos': 100, 'neg': 55}",1.8035714285714286,0.5897688261061103
FERNTREE GULLY,"{'pos': 94, 'neg': 42}",2.2093023255813953,0.7926767759069784
CAMPBELLFIELD,"{'pos': 13, 'neg': 5}",2.3333333333333335,0.8472978603872037
CRAIGIEBURN,"{'neg': 65, 'pos': 169}",2.5757575757575757,0.9461436950238362
OAKLEIGH,"{'pos': 17, 'neg': 9}",1.8,0.5877866649021191
MENTONE,"{'pos': 42, 'neg': 25}",1.6538461538461537,0.5031035776720804
CHELSEA,"{'pos': 15, 'neg': 9}",1.6,0.47000362924573563
,"{'pos': 37, 'neg': 6}",5.428571428571429,1.6916760106710724
PASCOE VALE,"{'pos': 54, 'neg': 34}",1.5714285714285714,0.4519851237430572
NOBLE PARK,"{'pos': 46, 'neg': 21}",2.1363636363636362,0.7591051483517427
EAST MELBOURNE,"{'pos': 101, 'neg': 41}",2.4285714285714284,0.8873031950009027
ROXBURGH PARK,"{'pos': 106, 'neg': 14}",7.133333333333334,1.9647786333596962
LILYDALE,"{'pos': 16, 'neg': 8}",1.8888888888888888,0.6359887667199967
BLACKBURN NORTH,"{'neg': 2, 'pos': 5}",2.0,0.6931471805599453
WERRIBEE SOUTH,"{'pos': 21, 'neg': 4}",4.4,1.4816045409242156
BRUNSWICK WEST,"{'pos': 54, 'neg': 24}",2.2,0.7884573603642703
FOREST HILL,"{'neg': 4, 'pos': 11}",2.4,0.8754687373538999
KEW,"{'pos': 67, 'neg': 27}",2.4285714285714284,0.8873031950009027
SOUTH MORANG,"{'pos': 121, 'neg': 65}",1.8484848484848484,0.614366302706831
KILSYTH,"{'pos': 5, 'neg': 5}",1.0,0.0
DEER PARK,"{'neg': 16, 'pos': 19}",1.1764705882352942,0.16251892949777494
SEDDON,"{'pos': 10, 'neg': 10}",1.0,0.0
YARRA JUNCTION,"{'pos': 3, 'neg': 1}",2.0,0.6931471805599453
BUNDOORA,"{'pos': 63, 'neg': 34}",1.8285714285714285,0.6035350218702581
